;ID;subs;text
133;4698;disgust;Gecremeerd. Het idee dat hij straks verbrand wordt... Ik krijg dat beeld gewoon niet uit m'n hoofd. Ik regel alles, ok? Jij hoeft geen begrafenisondernemer te zien.
135;8196;neutrality;Om hem 't nummer van de fysiotherapeut te geven.
139;7305;anger;Joehoe, komen jullie nog?
142;3090;anger;We moeten proberen er echt iets moois van te maken. Ik bedoel: we hebben nog even. En nou weg met die tranen, anders heb je zo alleen maar jankfoto's.
148;938;surprise;Is hier iets tegen te doen? Het is te behandelen, maar het is echt heel erg heftig. Ze heeft een nieuwe lever nodig.
149;6864;sadness;Wist jij meteen... Vond jij Job meteen leuk? Nee. Ja, ergens wel. We zijn elkaar op reis tegengekomen. Dat liep alleen niet zo goed af.
153;7897;anger;Natuurlijk niet. Hoe kom je daar nou bij? Dit is echt z'n eigen keuze. nieuwe bedrijf wordt kleiner en overzichtelijker. Geloof je 't zelf? Hij heeft 'n rigoureuze beslissing genomen. Hij wil dit echt. Dank je.
154;3909;happiness;Ja. laten we er een prachtig moment van maken, een feestje(!)
155;3898;fear;Het moet gehecht worden. Ik breng je naar 't ziekenhuis. Nee.
156;1040;fear;Hee, kom binnen Is er nieuws over Teddy? Mij? Ja. Ja, is Sjoerd thuis? Ja net, we zouden naar de bouwmarkt. Ik moet 'm dringend spreken nu.
157;3249;happiness;Ze zijn op geimproviseerde huwelijksreis in de woonkamer.
159;611;happiness;Maar hee, de kans dat dat bij ons kindje gebeurt is zo klein.
160;6249;happiness;Dank je wel voor het vertrouwen.
165;829;anger;ja? Ja. En als Sam wil trouwen, kunnen we 'r alleen maar feliciteren.
167;7715;happiness;Ben je er klaar voor? Helemaal. Kijk nou hoe lief ze eruitziet in dat jurkje. Ja, alleen... ze ziet 'n beetje witjes. Is ze wel in orde? Ja, ze heeft goed geslapen.
168;5402;surprise;Zeker nu die Hamersma is opgepakt. Daar wil je toch bij zijn? Nee.
170;1059;anger;Om je mee naar huis te nemen. Elke keer als ik je aan de telefoon had, had je 't over 't weer. Ik zat heel lang niet meer in Hawaii.
171;1879;disgust;Ik dacht dat je het allang verteld had. Dag, mam.
175;4929;neutrality;Ik heb 't alleen over de zorg en opvoeding van Teddy. Je hebt helemaal gelijk. Ik begrijp het, echt.
176;2802;sadness;Je moet ervan uitgaan dat je vanaf nu snel achteruit zal gaan. Je hebt niet lang meer.
177;671;neutrality;We kunnen natuurlijk ook een andere oefening doen.
178;7038;anger;Jullie doen je best maar. Ik ga rennen. Als ik terugkom is het leuk.
179;504;fear;Hee. Liefje?
182;548;fear;En het is eerst maar afwachten of ik zwanger word.
184;7656;sadness;Ik vond Bram 'n beetje stil vandaag. Dan was hij moe. Eerder verdrietig.
188;4159;anger;Olivier moet zich veilig voelen. Laat maar, het was niet... Niks laat maar. Ik vind 't stom.
190;7021;neutrality;Beter nog, praat het met hem uit.
191;6470;neutrality;Hee, met Linda. Ik ben er even niet.
192;1107;fear;Om het uberhaupt aan iemand te vertellen. Het is wel even wat anders dan een blindedarmontsteking.
193;4512;happiness;Hee, bedankt, he.
194;3568;anger;Dat de artsen een fout hadden gemaakt, dat ie geen hiv heeft. Ongelooflijk wat een eikel. Heb je niet hetzelfde gedaan?
195;661;anger;dan moet je je ook zo gedragen... en dit op 'n volwassen manier met haar uitpraten. Als jij wil dat je moeder je op 'n volwassen manier behandelt...
196;3735;happiness;Nou, dat is een hele goeie reden. Ik vergeef je. Hee maar schat, nice he?
197;7877;disgust;Al het verzet is zinloos.
199;2710;happiness;Je komt er weer helemaal bovenop.
201;7037;anger;Ben je soms vergeten waarom Anton dit voor mij heeft geregeld? Om me een heel klein beetje minder verdrietig te laten voelen. Dat gaat moeilijk met twee ouders die elkaar niet kunnen zien of luchten. en m'n moeder zit hier met zo'n gezicht. Kunnen jullie niet twee dagen normaal tegen elkaar doen?
203;6963;neutrality;Ik heb een lekker kruidenbittertje bij me. Anders hou ik je wel warm.
204;3106;anger;Wat wil je nou dat ik doe? Dat ik het voor je oplos?
207;2321;fear;Sjoerd... Hij... Hoe ga ik hem dit vertellen?
210;7555;anger;Ik neem 'r mee, want ze heeft genoeg tijd met je doorgebracht.
211;5278;surprise;Iris. Wie?
214;6205;surprise;Ik had echt geen idee dat die foto's zo'n impact zouden hebben.
216;4532;fear;Dan blijft 't bedrijf in de problemen. Anders kan ik Sanders weer opstarten...
217;743;surprise;Ludo, Janine, jou en uiteindelijk ook m'n vader. Malena? Ja. Het was geen toeval dat ze bij je vader kwam werken en erna bij jou. Ze heeft ons bespioneerd. Zij zit achter de problemen van Sanders Inc. Waarom? In opdracht van iemand. Van wie? Geen idee. vader vergeeft 'r, die wil 'r zelfs 'n tweede kans geven.
218;5872;neutrality;Ik dacht dat je 't fijn zou vinden om zelf... die foto's van jou en Olivier te ontwikkelen.
221;5802;fear;Ik leg me hier niet bij neer. Ik wil niet dat je ruzie krijgt met je pa.
222;4474;sadness;Ik wil gewoon dat hij 't erkent.
223;5779;sadness;Ik heb 't allemaal niet zo handig aangepakt, geloof ik. Nee.
224;840;happiness;Ik ben blij dat ik haar een duwtje richting volwassenheid heb gegeven.
225;4403;neutrality;Meneer Sanders heeft hier een onbeperkt krediet, dus... ok.
226;6835;surprise;Jij dacht zeker even echt dat 't echt was?
227;2736;sadness;Sorry van net, dat ik zo kwaad werd.
228;6655;fear;Lieverd, Ludo mag dit niet weten.
231;2060;neutrality;Maar wil je Malena vinden voor Marcus of voor jezelf?
232;4677;surprise;Mooie lach, ogen ook. Goed lichaam. Beetje te lang haar. Ik val niet op kort haar. Maar is ze een bekende Nederlander of zo? Nee, ze woont in Meerdijk en ze werkt in bij Anna. Dus je kent haar ook echt?
234;517;sadness;Hoe gaat het met haar? Hetzelfde.
236;7290;sadness;Ik heb verteld dat je 'm voorlopig niet wil zien, dat was niet leuk. Daar went ie wel aan.
240;4510;neutrality;ok. Daar ben ik nu.
241;7273;anger;Grote knul. Zo! Dat was hard. Sjoerd!
242;5390;sadness;En eenzaam op een hotelkamer lijkt me ook niks.
245;1583;anger;En waarom probeert ze mij te ruineren? Geen idee. Malena wist het ook niet. Hoelang weet je dit al? Een paar dagen. Ik wilde het je eerder zeggen... Maar je had belangrijkere dingen te doen?
249;6348;anger;Praat er een keer goed over. Jij luistert naar me, met echte interesse. Ik ook. Ga zitten. Ik snap dat 't vervelend is dat ik 10.000 keer begin over m'n pa... Het geeft allemaal niet. Je snapt er ook geen bal van. Laat maar.
250;374;sadness;Als je niet ziek was, had ik het ook gewild. Het lijkt alsof ik geen keuze heb, alsof het zo hoort.
252;7726;happiness;Zo, lieverd.
254;995;surprise;Denk je misschien dat het niet gunstig is?
256;4343;sadness;En geld is niet 't enige probleem natuurlijk.
259;3843;neutrality;De medicijnen om afstotings- verschijnselen tegen te gaan. En ze heeft koorts. En nu?
264;7667;happiness;Ik wil dat je weet... dat ik heel blij ben voor mama dat ze gaat trouwen.
265;4018;neutrality;Ja, voor je afscheidsmiddag. Daar wilde je een cocktailparty van maken.
266;7853;neutrality;Heb je al ontbeten? Eh, ik was net op weg. Vind je 't goed dat ik even aanschuif?
267;1245;neutrality;Hier ben ik.
269;5821;neutrality;We gaan wel zo eten, he.
270;4442;surprise;Ja, die Hamersma bekent zonder enige aanleiding schuld. Omdat z'n geweten opspeelt? Die man heeft zo'n strafblad.
273;4133;anger;Er moet nog heel wat gebeuren en Job had hier allang moeten zijn. Kan ik ergens mee helpen? Nee, Job hoort hier te zijn. Spice Up, onze sponsor, zit om klokslag acht uur te kijken... waar een halve ton aan uitgegeven wordt.
275;8224;fear;Wat voor foto? Sam heeft een foto gemaakt van Linda en mij... die staan te zoenen. Hij liegt. Zij wilde dat niet.
276;558;anger;Sam, ik weet dat... Laat maar!
278;973;surprise;Dat weet je zeker? Hmhmm. Yes.
280;4659;happiness;Het begin was natuurlijk goed. En dan gaan we verder.
281;6389;fear;Jij krijgt binnenkort 'n heel pakket aandelen van Ludo in handen. En ik wil weten of jouw intenties zuiver zijn.
282;6128;fear;Wat nou als ik hem nooit meer terugzie? Dan heb ik alleen zijn foto. En hij kijkt zo lief op al die foto's naar me.
283;6204;neutrality;Ik dacht dat het goed voor je zou zijn, een beetje afleiding. Dat je op 'n andere manier met hem bezig zou kunnen zijn.
285;6227;happiness;Thanks. Daar moet op gedronken worden, toch? Tuurlijk. Ik haal wat te drinken. dat er helemaal niks verandert. Wij zijn gewoon... Ja, weet ik veel, Sjoerd en Lucas. Ja.
286;2084;sadness;Sorry.
287;7926;disgust;Als je hem wilt kleineren... dan zorg je dat z'n nieuwe speeltje een fiasco wordt.
288;4869;happiness;Ik ben blij dat je je goed voelt.
289;3398;happiness;Ik ga eens kijken hoe m'n atelier eruit ziet. Hou je me op de hoogte? Doe ik.
290;8357;sadness;Als je eens wist hoe ongelukkig ik was in Canada. Hoe ik jullie heb gemist.
292;7476;surprise;Aan wie dan? Een Zwitserse belegger. Die 30 procent?
293;7099;anger;Wij gaan trouwen, of je dat nou accepteert of niet.
294;2398;sadness;Met zoveel haast. Geef jezelf de tijd 't een plek te geven. Ik wil niet langer zwanger van hem zijn.
296;5818;disgust;Hij is toch allang geen probleem meer? Natuurlijk niet. Waarom krijg ik 't gevoel dat je hem amper kunt verdragen?
297;5695;happiness;Fijn. Hopelijk is ze volgende week weer thuis.
301;5627;surprise;Ik krijg steeds 'n seintje als we weer 50 likes hebben op Smoelaria. chef kan beter koken dan pokeren'?
302;6830;disgust;Doe je dat al lang, dat 'personal training'-achtige gebeuren?
303;8260;anger;Hallo, zeg jij dan iets.
304;4652;surprise;Ja?
305;992;sadness;Ze halen een stukje van je lever af. Je moet de rest van je leven medicijnen blijven gebruiken.
306;8280;fear;Zullen we alsjeblieft weer opnieuw beginnen?
307;4372;anger;Het is 'n moeilijke opdracht... maar enige vooruitgang mag toch wel? Ik heb wat, maar niet over Maddy. Ik heb ontdekt... Het draait om Maddy. Dat is je opdracht. Ik heb geprobeerd haar te achterhalen...
308;3729;happiness;Ik kom je even vertellen dat het een hele mooie avond was.
312;285;disgust;Zolang het maar niet met Malena is.
315;955;anger;Als jullie een foto willen, kun je het gewoon vragen, hoor.
316;1126;anger;ik heb er geen zin in. Ruzie maken is niet handig als je samen een bedrijf begint. Zij maakt ruzie. Je moet je nooit te groot voelen om 't bij te leggen.
318;6702;happiness;en ik heb 'n optie op meer dan twintig procent.
319;4173;fear;Ik weet dat je 't moeilijk vindt, maar alsjeblieft?
320;8263;anger;Ga jij nou maar ergens koffiedrinken. Ik handel 't hier af. Denk aan het geld.
321;5081;happiness;Hee, jongens, moet je dit horen. Natuurlijk mag je wachten.
322;6215;surprise;Je moet echt mee. Je moet zien wat hij heeft gemaakt.
323;3576;neutrality;Ik zal je na afloop precies vertellen hoe het was.
325;2729;neutrality;Ik heb wel trek, dus ik ga even snacken. Kan ik wat meenemen?
327;2176;sadness;En vrienden. Zij zullen je hierdoorheen helpen, dat weet ik zeker. Ik kan je achterlaten omdat je nu familie hebt.
329;8455;surprise;Dit wordt hem niet vanavond. nee?
330;6432;happiness;Je zegt wat ik denk, alleen dan omgekeerd.
331;5100;happiness;Ik vroeg Sam net of je misschien iets speciaals wil eten.
332;3210;disgust;Het enthousiasme druipt er vanaf.
334;5803;fear;Blijf jij bij Teddy?
335;2394;anger;Dat bepaal ik zelf wel. Nee, niet in je eentje. ja, ik ben overal zo betrokken bij geweest(!) Dit is anders.
336;3745;happiness;Even kort, Ludo en ik hebben het bijgelegd. En hij vertrouwt me volledig.
337;3254;happiness;Een nachtje in de bruidssuite staat nog altijd voor ze open.
340;7219;happiness;Mooie tekening.
341;6488;anger;Bill is met de onderhandelingen gestopt, zonder opgave van redenen.
343;2442;surprise;Wat kom je doen?
344;1923;fear;Hij wel. Wat nou als die anderen het allemaal wel hebben?
346;6453;happiness;Wat lekker.
347;3699;disgust;dus voor degenen die het niet hebben gezien...
348;7994;happiness;Misschien wilde 't lot dat je hem de waarheid zou vertellen.
349;1037;anger;Dat gaat ons views kosten. Dan kunnen we die nieuwe zaak ook vergeten.
351;6017;anger;Als haar iets is overkomen, hou ik jou verantwoordelijk.
352;7895;anger;Ik gooi m'n aandelen van Sanders op de markt.
354;7513;happiness;Ik hou nog altijd van je moeder.
355;4449;fear;Dat is allemaal mogelijk. Er zit sowieso iets achter.
356;1071;anger;Je moet het Aysen vertellen.
357;8167;surprise;Een en daar kom je nu pas achter?
358;2901;anger;Ik kan niet begrijpen dat hij je daarin steunt.
359;7456;neutrality;Mevrouw Sanders, uw post. Dank je. Alstublieft.
360;2346;happiness;dat heb ik persoonlijk niet eerder meegemaakt. Een dubbele bruiloft is altijd speciaal. Maar een moeder en dochter... die op dezelfde dag 't ja- woord geven aan hun grote liefde...
361;1013;neutrality;Kijk, een saucijzenbroodje. En hij is nog lekker warm. Ik ga Bram even ophalen bij de en dan pik ik jou op, goed? z'n sjaal. Was ik vanochtend vergeten.
362;6422;surprise;Hee. Hee. Ze zijn met haar kamer bezig, dus we moeten even wachten. Wat was je vroeg weg vanmorgen.
363;4210;happiness;Wij gaan naar het casino. Nee. Ja. Nee, nee, nee. Kom op, naar het casino. De sexy chef heeft toch geld zat. Nou, ok, 'fuck it'.
364;2860;sadness;Red jij het nog een beetje zonder je vader?
365;7419;happiness;Ze vindt 'm leuk. Meer dan.
366;3353;anger;En nu wil ik het er gewoon niet meer over hebben. Ik kan m'n afspraak verzetten...
367;7893;neutrality;Dan wachten wij dus ook af.
370;6358;sadness;Nee? Nee. Ik voel me soms best eenzaam. Het ene moment kan ik daar beter mee omgaan dan 't andere.
371;5159;neutrality;Ik ga mee.
372;4058;neutrality;Rikki.
373;454;happiness;Laura heeft een hele mooie trouwlocatie voor ons gevonden.
375;539;surprise;Over anderhalve week al?
377;1498;surprise;Ik heb er toch al een?
378;1366;happiness;Ik hou van je.
379;5817;surprise;Wat is dat met jou en Bill?
380;8426;surprise;Hoi. hee. Tot snel. Tot snel. Woon je hier ook? Ja. Ik dacht dat ik Noud hoorde.
381;113;disgust;Ik dacht dat ik je kende. Dat is de vrouw waar ik verliefd op geworden ben. De vrouw die ik nu zie... ik weet niet meer wie jij bent.
382;3892;anger;Sorry. Doe effe normaal.
383;7266;anger;Sjoerd is Bram vergeten. Er had van alles kunnen gebeuren.
386;7177;happiness;Dat wordt dan je linkervoet op blauw. ok. jee. Je kan het, je kan het. Ik heb hem, ik heb hem. Mam... Rechterhand op geel. Nee... Dan had je mij maar niet moeten uitlachen.
387;4947;surprise;Mag ik nog 'n keer hetzelfde bestellen? Komt in orde. Sinds wanneer doe je de bediening? Ik val in. Griepgolfje.
388;5707;happiness;Ik ben je enorm dankbaar wat je voor Teddy hebt gedaan.
391;5199;disgust;Ze heeft haar vader nodig, juist nu. Ze heeft gelukkig veel steun. Linda, Rover. Anton. En de rest van haar vrienden. Tja... Anton.
392;4903;anger;Ik wens u 'n hele fijne dag. Ja. Hoe heeft dit nou kunnen gebeuren?
394;4745;surprise;Grapje. Ik wil jullie niet ongerust maken... maar ik vind 't gek dat Sam zo lang wegblijft.
396;258;anger;Vertel me dan wat je wel weet.
399;4989;neutrality;Leon, met mij. Kun je zo snel mogelijk hiernaartoe komen?
400;749;surprise;Wel ok. Wel ok? Hmhm. Je hebt ze niet ingelicht? Ik doe 't morgen.
402;3564;sadness;Je moet niet boos op hem zijn. Mam, ik heb hem omhelsd.
405;4234;surprise;Wat zij vrijdag nodig hebben is iemand die genoeg afstand houdt. Waarom? Je gaat toch geen gekke dingen doen?
408;6578;anger;Wat bezielt jou?
409;7275;happiness;Hai. Hee. Dag, jochie.
414;894;surprise;Ik was hier net al. ok, ik kom nu naar boven. Rustig maar, ik kom eraan. Hoe is het? Heb je al meer jongens gesproken? Hmhm.
428;3364;neutrality;Hij werd zo nerveus… en daar werd ik weer nerveus van. Toen ik net hoorde dat ik...
429;2169;sadness;Ik, die haar nooit in de steek zou laten. Ik loop gewoon zo haar leven uit.
434;1248;sadness;Misschien dat ze 't later beter begrijpt.
436;4407;anger;Dat is rechtvaardigheid. Geen leedvermaak.
437;1055;fear;Ik heb het heel lang aan niemand verteld.
438;4428;disgust;Iemand drukt op ingenieuze wijze 'n godsvermogen achterover... en vervolgens geeft hij zichzelf aan. Dat doet die Hamersma niet uit zichzelf. Hij is ingezet door Maddy.
440;3391;sadness;Ik heb echt liever dat je er voor haar bent dan voor mij.
448;287;neutrality;In Moskou.
451;3733;surprise;Ja, ik sta er eerlijk gezegd ook versteld van.
453;3497;anger;Maar zeg dat dan meteen.
455;3235;neutrality;Hij wil graag alle ellende achter zich laten... en hij hoopt dat jullie dat ook kunnen.
457;1740;neutrality;Hier, dit moet je horen, een mail van die specerijengigant.
462;3874;fear;Je wilt toch niet... je wilt toch niet nu al?
464;372;happiness;Ik ben serieus over trouwen... en 't kan binnen twee weken geregeld zijn.
466;2089;happiness;Ik wil bij jullie ook wel een praatje houden.
467;3508;sadness;Ik heb het verpest.
470;2016;surprise;Vluchten?
478;2993;anger;heeft geen zin? Weet je wat geen zin heeft? Dat ik dacht dat ik 'n dochter heb. Dat ik gelogen heb tegen m'n vriendin...
485;987;surprise;ok, zo goed als ze het opnam had ik het niet verwacht.
487;3063;sadness;Hoe wil je dat ik dat doe? Ik ben in 'n paar uur twee kinderen kwijtgeraakt.
488;3438;neutrality;En hebben jullie 't filmpje nog niet gezien, klik dan op deze link...
489;4317;anger;Als hij 't niet toe wil geven dan verdient hij je begrip niet.
490;2653;sadness;Nee, het is mijn schuld. Ik heb het allemaal verkeerd aangepakt.
495;2615;fear;Ze is klein en dan zo'n enorme ingreep… ik probeer niet te denken aan wat er allemaal mis kan gaan...
497;3720;anger;Hou op ons te vergelijken. Ik lijk totaal niet op jou.
498;1801;sadness;We zijn gewoon geen goeie match.
503;1634;anger;Wat is dit, wat is je probleem? Waarom wil je niet?
508;554;anger;Hij wilde dit net zo graag als ik. Het is gewoon een lafbek.
510;1798;sadness;viel ik tegen dit keer?
512;3229;sadness;Schat... je vader heeft het er echt heel moeilijk mee.
514;91;anger;Jij wil dat ik de gezondheid van een patient op 't spel zet.
516;3311;sadness;Ja, hij is nu bij ons. Ze hebben nog maar 'n paar weken samen.
518;7304;sadness;Ik wil het niet, ik wil dat het ophoudt.
520;98;surprise;Ik kreeg alleen te horen wat ik moest doen. Hoe dan?
529;2824;neutrality;Stoor ik?
533;3212;neutrality;Ik wil gewoon niet in m'n eentje zitten wachten.
534;3226;happiness;dus dat geeft ons veel credits.
536;2286;anger;Of liever koffie? Thee? Gooi je liever iets naar mijn hoofd?
539;3475;happiness;Positief.
540;1024;sadness;Nee, en ik wil ook niet dat je het vertelt. Dan is ie straks blij om helemaal niks.
543;64;surprise;Ze zei dat ze het voor me kon oplossen. Ik zei: Wat bedoel je, waar heb je het over? En ze herhaalde alleen maar dat ze het kon oplossen.
545;333;happiness;Lieve Olivier... Met deze ring wil ik je graag wat vragen. Ik vind je namelijk om op te vreten.
547;584;anger;Fuck. Ik maak overal een puinhoop van.
551;4261;happiness;Want dit is echt heel erg lekker. Ja, het is heel goed gelukt. Een groene cappuccino. Jobs favoriet en je ligt er niet wakker van.
554;1364;anger;Dit verandert niets. Ik laat 'n vaderschapstest doen.
561;3354;anger;Nee. Jij gaat dat contract gewoon tekenen.
564;1367;sadness;Laten we ons concentreren op Teddy, zorgen dat ze geopereerd wordt. Daarna zien we verder, ok?
570;4030;happiness;Dat was echt weer helemaal als vanouds.
572;4419;neutrality;Als de schorsing wordt opgeheven moet je meteen toeslaan.
573;3752;sadness;Ja, precies. Dat doen we dus ook niet meer. Laat me met rust.
574;1742;neutrality;Heel even?
578;165;neutrality;Dat er problemen zijn met Sanders Inc... en dat je denkt dat Bing en Marcus er iets mee te maken hebben.
582;1551;disgust;Het is niet niks om dit tegen iemand te zeggen namelijk.
583;2315;sadness;Ik wil graag even alleen met m'n dochter zijn.
586;1885;sadness;Hoi, niet schrikken, vandaag geen gewone kookvlog... Voor wie het nog niet weet, ik ben Anna... Job's vriendin en zakelijk brein. En ik zou z'n vlog natuurlijk nooit overnemen… als ik daar niet een heel goeie reden voor had. Waar Job is, hij is hier vlakbij in het ziekenhuis. Maar geen zorgen, hij is helemaal ok. maar iets heel anders. Alleen, zijn nichtje Teddy, nog maar een dreumes, niet.
589;5374;happiness;Ik zat je ook een beetje te pesten.
594;3057;sadness;Ik ben Teddy kwijt en Aysen...
602;3055;sadness;Dat weet ik toch ook wel, maar alles wat er nu gebeurt is zo zinloos. Als Rikki niet zo stellig was geweest...
604;1112;sadness;Want dat had ik namelijk wel een jaar geleden. Soms. Heel even, als ik hoorde dat iemand hiv had.
605;1756;surprise;Dus ik kan zomaar weg?
607;4446;sadness;Amper. En Leon komt ook geen steek verder.
610;1671;fear;Weet ik veel. Dat de bruidstaart omvalt... dat ik struikel over m'n jurk, dat de gasten 't stom...
613;2885;disgust;Die keuze hoef je voor mij niet te maken.
618;1359;anger;Ik geloof niet dat ik jou nog iets hoef uit te leggen. ja, en nog iets. Jij houdt je kop tegen Sjoerd.
620;291;disgust;Ik weet niet wat ze heeft gedaan met ‘m, maar hij is ineens verdwenen. Veel later wilde ze er ineens iets voor terug.
625;111;happiness;Malena is bijgekomen.
628;3749;disgust;Ik wil dit helemaal niet. Ik lieg tegen Sam. En ik misbruik de ziekte van Olivier om...
